Shop,Item,Date,Whether_holiday,Current_Price,Maximum_price,Total_qty_sold
G,3,4/27/2022,FALSE,21.95,21.95,93
H,3,4/23/2019,FALSE,21.95,21.95,63
H,3,6/4/2019,FALSE,21.95,21.95,97
H,3,4/22/2021,FALSE,23.95,23.95,42
H,3,5/6/2021,FALSE,23.95,23.95,52
H,3,10/14/2021,FALSE,23.95,23.95,90
H,3,10/21/2021,FALSE,23.95,23.95,93
H,3,5/11/2022,FALSE,21.95,21.95,69
A,3,6/25/2019,FALSE,21.95,21.95,49
A,3,6/17/2021,FALSE,23.95,23.95,90
C,1,3/26/2019,FALSE,11.95,11.95,83
C,1,5/21/2019,FALSE,11.95,9.95,40
C,1,5/20/2021,FALSE,12.95,10.75,99
C,1,5/27/2021,FALSE,12.95,10.75,92
C,1,3/16/2022,FALSE,12.95,12.95,37
E,1,7/8/2021,FALSE,12.95,12.95,91
G,1,4/30/2019,FALSE,11.95,11.95,98
G,1,6/4/2019,FALSE,11.95,11.95,62
G,1,6/18/2019,FALSE,11.95,11.95,62
G,1,1/7/2021,FALSE,12.95,12.95,96
G,3,3/12/2019,FALSE,21.95,21.95,95
G,3,4/9/2019,FALSE,21.95,21.95,71
G,3,10/15/2019,FALSE,21.95,21.95,43
G,3,3/25/2021,FALSE,23.95,23.95,72
H,3,9/30/2021,FALSE,23.95,23.95,89
H,3,6/8/2022,FALSE,21.95,21.95,49
A,3,5/20/2021,FALSE,23.95,23.95,84
C,1,10/8/2019,FALSE,11.95,11.95,84
C,1,10/7/2021,FALSE,12.95,12.95,92
C,1,12/30/2021,TRUE,12.95,12.95,58
C,1,7/27/2022,FALSE,12.95,12.95,98
C,3,9/7/2022,TRUE,21.95,21.95,98
E,1,4/16/2019,FALSE,11.95,11.95,91
E,1,8/13/2019,FALSE,11.95,11.95,49
E,1,12/31/2019,TRUE,11.95,11.95,96
G,1,11/12/2019,FALSE,11.95,11.95,83
G,1,1/14/2021,FALSE,12.95,12.95,76
G,1,6/3/2021,FALSE,12.95,12.95,75
G,1,6/10/2021,FALSE,12.95,12.95,85
G,1,6/17/2021,FALSE,12.95,12.95,62
G,1,6/15/2022,FALSE,12.95,12.95,58
G,3,1/21/2021,FALSE,23.95,23.95,46
G,3,4/20/2022,FALSE,21.95,21.95,100
H,3,4/15/2021,FALSE,23.95,23.95,79
H,3,3/23/2022,FALSE,21.95,21.95,74
H,3,10/12/2022,FALSE,21.95,21.95,79
E,1,7/30/2019,FALSE,11.95,11.95,87
E,1,7/15/2021,FALSE,12.95,12.95,93
E,1,8/5/2021,FALSE,12.95,12.95,27
G,1,4/16/2019,FALSE,11.95,11.95,83
G,1,6/22/2022,FALSE,12.95,12.95,78
G,1,9/14/2022,FALSE,12.95,12.95,73
G,3,10/1/2019,FALSE,21.95,21.95,84
G,3,3/18/2021,FALSE,23.95,23.95,98
G,3,10/26/2022,FALSE,21.95,21.95,99
H,3,4/9/2019,FALSE,21.95,21.95,87
H,3,3/9/2022,FALSE,21.95,21.95,52
H,3,4/13/2022,FALSE,21.95,21.95,99
H,3,4/27/2022,FALSE,21.95,21.95,88
A,3,3/18/2021,FALSE,23.95,23.95,33
A,3,4/15/2021,FALSE,23.95,23.95,82
A,3,5/27/2021,FALSE,23.95,23.95,91
C,1,5/7/2019,FALSE,11.95,9.95,51
C,1,5/14/2019,FALSE,11.95,9.95,97
C,1,3/2/2022,FALSE,12.95,12.95,96
C,1,3/9/2022,FALSE,12.95,12.95,90
C,1,4/20/2022,FALSE,12.95,12.95,98
C,1,9/7/2022,TRUE,12.95,12.95,100
E,1,7/9/2019,FALSE,11.95,11.95,90
E,1,7/23/2019,FALSE,11.95,11.95,78
E,1,8/6/2019,FALSE,11.95,11.95,77
E,1,1/14/2021,FALSE,12.95,12.95,92
E,1,1/21/2021,FALSE,12.95,12.95,31
E,1,1/28/2021,FALSE,12.95,12.95,99
E,1,6/3/2021,FALSE,12.95,12.95,98
E,1,6/10/2021,FALSE,12.95,12.95,84
E,1,6/17/2021,FALSE,12.95,12.95,75
E,1,7/1/2021,FALSE,12.95,12.95,96
E,1,7/29/2021,FALSE,12.95,12.95,89
E,1,1/6/2022,FALSE,12.95,12.95,41
E,3,8/5/2021,FALSE,23.95,23.95,73
G,1,7/23/2019,FALSE,11.95,11.95,78
G,1,1/21/2021,FALSE,12.95,12.95,84
G,1,5/4/2022,FALSE,12.95,10.75,91
G,1,9/28/2022,FALSE,12.95,12.95,100
G,1,10/5/2022,FALSE,12.95,12.95,85
G,1,10/12/2022,FALSE,12.95,12.95,99
G,3,2/5/2019,FALSE,21.95,21.95,82
G,3,4/2/2019,FALSE,21.95,21.95,88
G,3,9/24/2019,FALSE,21.95,21.95,48
G,3,2/18/2021,FALSE,23.95,23.95,84
G,3,5/25/2022,FALSE,21.95,21.95,75
G,3,9/28/2022,FALSE,21.95,21.95,79
H,1,6/24/2021,FALSE,12.95,12.95,77
H,3,3/26/2019,FALSE,21.95,21.95,90
H,3,5/7/2019,FALSE,21.95,21.95,91
H,3,10/22/2019,FALSE,21.95,21.95,67
H,3,10/29/2019,FALSE,21.95,21.95,50
H,3,2/25/2021,FALSE,23.95,23.95,94
H,3,9/23/2021,FALSE,23.95,23.95,82
H,3,3/30/2022,FALSE,21.95,21.95,96
H,3,5/4/2022,FALSE,21.95,21.95,57
A,3,6/1/2022,FALSE,21.95,21.95,75
C,1,10/15/2019,FALSE,11.95,11.95,85
E,1,4/23/2019,FALSE,11.95,11.95,99
E,1,7/22/2021,FALSE,12.95,12.95,53
G,1,8/27/2019,FALSE,11.95,11.95,92
G,1,9/3/2019,FALSE,11.95,11.95,57
G,1,4/1/2021,FALSE,12.95,12.95,96
G,3,6/8/2022,FALSE,21.95,21.95,87
H,1,7/22/2021,FALSE,12.95,12.95,100
H,1,6/29/2022,FALSE,12.95,12.95,78
H,3,2/19/2019,FALSE,21.95,21.95,92
H,3,9/24/2019,FALSE,21.95,21.95,72
H,3,2/18/2021,FALSE,23.95,23.95,86
H,3,3/4/2021,FALSE,23.95,23.95,94
A,3,4/22/2021,FALSE,23.95,23.95,97
A,3,4/29/2021,FALSE,23.95,23.95,87
A,3,6/22/2022,FALSE,21.95,21.95,75
C,1,2/26/2019,FALSE,11.95,9.95,87
C,1,12/3/2019,FALSE,11.95,11.95,90
C,1,1/27/2022,FALSE,12.95,12.95,93
C,1,5/11/2022,FALSE,12.95,10.75,39
